Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,"BackStabber: ('D', 'D')",2.9722222222222223,0.40555555555555556,4.0,0.7833333333333333,0.2833333333333334,0.12222222222222223,0.38333333333333336,0.21111111111111114,0.21180555555555555,0.375,0.25436507936507935,0.3333333333333333
1,Grudger,2.583333333333333,0.5833333333333334,2.0,0.8,0.37777777777777777,0.20555555555555557,0.2555555555555556,0.16111111111111112,0.678956228956229,0.21222222222222223,0.5916666666666667,0.29166666666666663
2,Random: 0.5,2.5277777777777777,0.46111111111111114,3.0,0.36666666666666664,0.25,0.2111111111111111,0.28888888888888886,0.25,0.5444444444444444,0.5222222222222223,0.4871031746031746,0.5992063492063492
3,Tit For Tat,2.5,0.6444444444444445,2.0,0.7833333333333333,0.41666666666666674,0.22777777777777777,0.21666666666666667,0.13888888888888892,0.8401124338624338,0.6875,0.7916666666666666,0.29166666666666663
4,Forgiving Tit For Tat,2.25,0.65,1.0,0.8166666666666667,0.4333333333333333,0.21666666666666665,0.15555555555555553,0.19444444444444442,0.7344276094276093,0.3476190476190476,0.7722222222222221,0.31666666666666665
5,Tit For 2 Tats,2.2222222222222223,0.7555555555555555,1.0,0.7333333333333333,0.4888888888888889,0.26666666666666666,0.15,0.09444444444444444,0.8328703703703705,0.7222222222222222,0.9027777777777778,0.5714285714285714
6,Cooperator,2.138888888888889,0.7944444444444444,0.0,0.75,0.48333333333333334,0.3111111111111111,0.1111111111111111,0.09444444444444444,0.8510582010582012,0.8152777777777778,0.8472222222222223,0.9375
