Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,"BackStabber: ('D', 'D')",2.361290322580645,0.41688700863740524,3.0,0.5792349726775956,0.2057817733121805,0.21110523532522474,0.28739643927375286,0.2957165520888419,0.42288619651709874,0.42083632871661303,0.42021939431450533,0.40307145764776814
1,Forgiving Tit For Tat,2.1763440860215053,0.49536400493566013,1.0,0.546448087431694,0.2344438568658558,0.26092014806980435,0.23973206416358186,0.264903930900758,0.5869779044968234,0.40411685545418363,0.5932066851707253,0.41446447719369317
2,Tit For Tat,2.148387096774193,0.49793759915388686,1.0,0.5901639344262295,0.23624184734708267,0.26169575180680416,0.2344438568658558,0.26761854398025736,0.6005067233737735,0.4054414203753119,0.5877138112192877,0.41619816542560134
3,Random: 0.5,2.1333333333333333,0.5002291556495682,1.0,0.5245901639344263,0.23782830953640052,0.2624008461131676,0.23454962101181032,0.2652212233386215,0.49250364588286977,0.493747329257179,0.5020622844776355,0.5104627541788621
