Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Cooperator,3.7373477038425493,0.15187290262115669,11.0,0.13929618768328444,0.11458112888109566,0.037291773740061075,0.6377921214136711,0.2103349759651722,0.15298408399881272,0.14740869770612394,0.15237975400809614,0.15066059397880607
1,Tit For Tat,2.7970946579194003,0.423360643347341,8.0,0.1378299120234604,0.2105692777458657,0.21279136560147532,0.3962421017625541,0.1803972548901049,0.1518284868983357,0.8459857608770548,0.15263121454200174,0.8459845154064762
2,Forgiving Tit For Tat,2.7774133083411434,0.4269734256431962,7.0,0.17008797653958943,0.21075067267285427,0.21622275297034194,0.39312059739395955,0.17990597696284424,0.1522092061934612,0.8461877820077899,0.15141751901442427,0.8435842842075053
3,Suspicious Tit For Tat,2.7364104967197753,0.43274027269704024,7.5,0.8196480938416423,0.21111346252683133,0.2216268101702089,0.3883438643165947,0.17891586298636514,0.1518176025521357,0.8489511617928457,0.15508738726001778,0.8477377195066299
4,Remorseful Prober: 0.1,2.6649484536082473,0.46264020316231824,7.0,0.1378299120234604,0.23385585149801977,0.22878435166429847,0.3598573026574357,0.17750249418024608,0.22302940296868845,0.7804707527328589,0.22342772211273887,0.8379007767318306
5,Alternator,2.5972352389878166,0.4977476796565589,7.0,0.14516129032258066,0.22533784805151616,0.2724098316050428,0.3559875442150135,0.14626477612842761,0.8468867826391097,0.851315884387787,0.15399684760492763,0.15253812823579646
6,Prober,2.522961574507966,0.5276702844877105,7.0,0.8504398826979472,0.2573767270308674,0.27029355745684314,0.3105934637361309,0.1617362517761587,0.3536098256313646,0.8323023481427398,0.19595567831551453,0.8302703422729902
7,Gradual,2.361293345829428,0.5681818181818182,4.0,0.14076246334310852,0.27121564833570155,0.2969661698461166,0.28182725156453126,0.1499909302536506,0.6705152662967392,0.7460345529675325,0.2571451971258466,0.6690798855553264
8,Hard Tit For Tat,1.9268978444236176,0.672892039785954,3.5,0.1378299120234604,0.2635214801826042,0.4093705596033498,0.21425764126129934,0.11285031895274665,0.6885297738437163,0.8476901529301045,0.4285807937389865,0.8451528588713407
9,"BackStabber: ('D', 'D')",1.624414245548266,0.7974272152855458,2.0,0.13929618768328444,0.3383771200532092,0.45905009523233675,0.10363696828612028,0.0989358164283339,0.8291655685680841,0.8456912247825776,0.5640734916050884,0.7303712569954804
10,Defector,1.592314901593252,0.8474770988904677,0.0,0.8680351906158358,0.3773316806239986,0.4701454182664692,0.06815158569398676,0.08437131541554556,0.8432048664011201,0.8485014985581664,0.8450183006354751,0.8483030467904888
11,Grudger,1.4793814432989691,0.8389061885902591,1.0,0.1466275659824047,0.35405266499380234,0.4848535235964567,0.0699957674517036,0.09109804395803732,0.8480709242842202,0.8460249410666929,0.7863060598760631,0.844289194067697
