Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Gradual,2.673992673992674,0.843694400837258,2.0,1.0,0.7645211930926217,0.0791732077446363,0.05536368393511251,0.1009419152276295,1.0,0.40335186137731266,0.5678215975271529,0.32950519409513396
1,Tit For Tat,2.6611721611721615,0.7801412872841444,0.0,1.0,0.6493458922030352,0.13079539508110938,0.12328623757195188,0.09657247514390373,1.0,0,1.0,0
2,Forgiving Tit For Tat,2.6538461538461537,0.7845368916797488,0.0,1.0,0.6550235478806907,0.12951334379905807,0.11896912611198326,0.09649398220826792,1.0,0.5261472785485592,1.0,0
3,"BackStabber: ('D', 'D')",2.6153846153846154,0.6953689167974882,9.0,1.0,0.6581894296180012,0.037179487179487186,0.08218210361067506,0.2224489795918367,0.9820670819790537,0.8051948051948052,0,0
4,Win-Stay Lose-Shift: C,2.4853479853479854,0.7542124542124542,1.0,1.0,0.6067242281527995,0.14748822605965461,0.10410779696493981,0.14167974882260595,1.0,0,0,1.0
5,Tit For 2 Tats,2.4413919413919416,0.838880167451596,0.0,1.0,0.747723704866562,0.091156462585034,0.010047095761381476,0.1510727367870225,1.0,0.8216088621240846,1.0,0
6,Grudger,2.4175824175824174,0.5675300889586604,3.0,1.0,0.5547095761381475,0.01282051282051282,0.08105703819989535,0.3514128728414443,1.0,0,0,0
7,Hard Tit For Tat,2.4038461538461537,0.5782312925170068,3.0,1.0,0.5611721611721612,0.01705913134484563,0.07585034013605442,0.34591836734693876,1.0,0,0.1417785234899329,0
8,Remorseful Prober: 0.1,2.3260073260073257,0.5252747252747253,6.0,1.0,0.32925170068027215,0.19602302459445312,0.21622187336473048,0.2585034013605443,0.9014386278812186,0,0.9020886583456921,0.5256860593755167
9,Suspicious Tit For Tat,2.258241758241758,0.5127943485086343,4.0,0.0,0.30975928833071686,0.2030350601779173,0.21030873888016746,0.2768969126111983,1.0,0,1.0,0
10,Prober,2.075091575091575,0.46224489795918366,2.0,0.0,0.33432757718472,0.12791732077446363,0.1352956567242281,0.40245944531658817,0.8852392538523924,0.522867480635777,0.8352713178294574,0.35734995514001033
11,Alternator,2.017399267399268,0.5,6.0,1.0,0.11237571951857664,0.3876242804814234,0.29502878074306643,0.20497121925693354,0,0,1.0,1.0
12,Random: 0.5,1.8617216117216118,0.4978806907378336,4.0,0.49230769230769234,0.19196755625327053,0.30591313448456303,0.1936682365253794,0.308451072736787,0.5099035166551559,0.49900483359628783,0.49384792370355246,0.4942034457465155
13,Defector,1.6593406593406592,0.0,12.0,0.0,0.0,0.0,0.16431187859759286,0.8356881214024072,0,0,0,0
