Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Gradual,2.5714285714285716,0.8385761589403974,0.0,1.0,0.7890255439924314,0.049550614947965935,0.010702459791863767,0.15072138126773887,1.0,0.4942922374429224,0.7004504504504504,0.16603130016051365
1,Forgiving Tit For Tat,2.5629139072847686,0.7368732261116367,0.0,1.0,0.614120151371807,0.12275307473982969,0.11684011352885525,0.14628666035950802,1.0,0.07542579075425791,1.0,0
2,Tit For 2 Tats,2.384105960264901,0.7196073793755913,0.0,1.0,0.7000354777672659,0.01957190160832545,0.001123462630085147,0.2792691579943236,1.0,0.771280400572246,1.0,0
3,Suspicious Tit For Tat,2.281929990539262,0.5631504257332072,4.0,0.0,0.42289498580889306,0.14025543992431408,0.1443945127719962,0.2924550614947966,1.0,0,1.0,0
4,Remorseful Prober: 0.1,2.184957426679281,0.4591414380321665,3.0,1.0,0.27099101229895933,0.1881504257332072,0.21251182592242193,0.32834673604541154,0.9030718505173025,0,0.9216644121750318,0.8035313001605136
5,Prober,2.075212866603595,0.5047894985808893,1.0,0.0,0.4342478713339641,0.07054162724692525,0.06929990539262061,0.42591059602649006,0.9,0.6691426802847417,0.8666666666666668,0.5033783783783784
6,Hard Tit For Tat,1.8855250709555345,0.4421712393566698,1.0,1.0,0.43838694418164614,0.003784295175023652,0.003784295175023652,0.5540444654683065,1.0,0,0,0
7,Defector,1.1438032166508987,0.0,6.0,0.0,0.0,0.0,0.03595080416272469,0.9640491958372753,0,0,0,0
