Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Gradual,2.6885245901639343,0.8304280097915585,2.0,1.0,0.7616892911010559,0.06873871869050269,0.058007566204287514,0.111564424004154,1.0,0.40888765060674437,0.5258024993874051,0.2613541425337952
1,Tit For Tat,2.66078184110971,0.775634844101575,0.0,1.0,0.6449818262740152,0.13065301782755975,0.12555942932027792,0.098805726578147,1.0,0,1.0,0
2,"BackStabber: ('D', 'D')",2.5901639344262297,0.6749993818460549,9.0,1.0,0.6489380115223895,0.026061370323665407,0.08090398832925352,0.24409662982469155,0.9881527023660631,0.7976827094474154,0,0
3,Win-Stay Lose-Shift: C,2.4665825977301385,0.746977227208664,1.0,1.0,0.5968647231906634,0.15011250401800066,0.10686645402170956,0.14615631876962637,1.0,0,0,1.0
4,Tit For 2 Tats,2.459016393442623,0.8363375615063176,0.0,1.0,0.7518482802957248,0.08448928121059268,0.009667927700714585,0.15399451079296786,1.0,0.8221828532993827,1.0,0
5,Grudger,2.4186633039092054,0.5621491976361793,3.0,1.0,0.5533219593007442,0.008827238335435058,0.08112652374947457,0.35672427861434614,1.0,0,0,0
6,Hard Tit For Tat,2.390920554854981,0.5686521771381945,3.0,1.0,0.5554731350295478,0.013179042108646736,0.0752664243503202,0.3560813985114853,1.0,0,0.13854489164086686,0
7,Remorseful Prober: 0.1,2.3127364438839852,0.5089632322033479,6.0,1.0,0.33046509902826204,0.17849813317508592,0.20473258660336768,0.2863041811932844,0.902627443002207,0,0.8963887552179779,0.47805178632401013
8,Suspicious Tit For Tat,2.305170239596469,0.5512944143609525,8.0,0.0,0.39037657938332965,0.16091783497762283,0.17088247657196545,0.27782310906708213,1.0,0,1.0,0
9,Cooperator,2.2812105926860022,1.0,0.0,1.0,0.7601315431595085,0.2398684568404916,0.0,0.0,1.0,1.0,0,0
10,Prober,2.2131147540983607,0.3767030141186361,3.0,0.0,0.2572509457755359,0.11945206834310018,0.20676013154315948,0.4165368543382044,0.8295382669196711,0.4661619143280788,0.7366941761030431,0.3470321137141353
11,Alternator,2.0706179066834802,0.5081967213114754,2.0,1.0,0.14487055856390477,0.3633261627475707,0.2855623964592142,0.2062408822293104,0,0,1.0,1.0
12,Random: 0.5,1.953341740226986,0.4984298889795515,4.0,0.497737556561086,0.20522710975941447,0.293202779220137,0.2025566847167619,0.29901342630368666,0.5050656580001535,0.4974648438262282,0.4890086476766511,0.4987707070705702
13,Defector,1.9180327868852456,0.0,12.0,0.0,0.0,0.0,0.22943401824790444,0.7705659817520956,0,0,0,0
