Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Gradual,2.626548672566371,0.755254424778761,2.0,1.0,0.6863661504424778,0.06888827433628318,0.08039269911504425,0.1643528761061947,1.0,0.3987889176465596,0.36050149092849515,0.1792149652396754
1,"BackStabber: ('D', 'D')",2.4398230088495576,0.5505807522123893,7.0,1.0,0.5328816371681416,0.017699115044247787,0.09968196902654866,0.3497372787610619,0.994994994994995,0.75,0,0
2,Win-Stay Lose-Shift: C,2.415044247787611,0.7416620575221239,0.0,1.0,0.5831443584070797,0.1585176991150443,0.10240597345132745,0.15593196902654868,1.0,0,0,1.0
3,Hard Tit For Tat,2.399557522123894,0.5258158185840708,3.0,1.0,0.514325221238938,0.011490597345132744,0.09488384955752212,0.37930033185840706,1.0,0,0.14738562091503268,0
4,Tit For 2 Tats,2.2991150442477872,0.7802682522123894,0.0,1.0,0.6759817477876107,0.10428650442477876,0.013136061946902654,0.20659568584070795,1.0,0.7925775026623469,1.0,0
5,Remorseful Prober: 0.1,2.260176991150442,0.4937361725663717,7.0,1.0,0.3513965707964601,0.1423396017699115,0.1747511061946903,0.3315127212389381,0.8995841821504046,0,0.9042128871992303,0.4027645348866772
6,Prober,2.1513274336283184,0.28726493362831856,3.0,0.0,0.13372511061946904,0.15353982300884955,0.2623340707964602,0.45040099557522123,0.784790242099427,0.2979473520346777,0.7028761569030025,0.010089809384164223
7,Defector,2.1256637168141594,0.0,10.0,0.0,0.0,0.0,0.2819551991150443,0.7180448008849557,0,0,0,0
8,Alternator,2.073451327433628,0.504424778761062,2.0,1.0,0.1748478982300885,0.32957688053097345,0.2642007743362832,0.23137444690265485,0,0,1.0,1.0
9,Cooperator,2.0721238938053097,1.0,0.0,1.0,0.6905558628318584,0.30944413716814156,0.0,0.0,1.0,1.0,0,0
10,Random: 0.5,1.9938053097345132,0.4999861725663717,4.0,0.5171875,0.2118086283185841,0.2881775442477876,0.2102184734513274,0.28979535398230094,0.5075217267123985,0.5006124082246607,0.4964448665386014,0.4968911428067185
