Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Tit For Tat,2.6524216524216526,0.780354003758259,0.0,1.0,0.6730617688064497,0.10729223495180941,0.10373098139055587,0.11591501485118506,1.0,0,1.0,0
1,Tit For 2 Tats,2.5042735042735043,0.7864460204885737,0.0,1.0,0.7621840334606292,0.024261987027944475,0.0011214160150330363,0.21243256349639328,1.0,0.8153477218225419,1.0,0
2,"BackStabber: ('D', 'D')",2.4316239316239314,0.7248439110141238,5.0,1.0,0.7065072437412863,0.018336667272837486,0.011396011396011395,0.26376007758986486,0.9898366488498067,0.8159340659340659,0,0
3,Win-Stay Lose-Shift: C,2.4109686609686607,0.7456961871855489,1.0,1.0,0.5881523913438806,0.15754379584166817,0.09888161483906165,0.15542219797538945,1.0,0,0,1.0
4,Hard Tit For Tat,2.1410256410256405,0.5753773413347881,1.0,1.0,0.5682548342122811,0.007122507122507122,0.005698005698005697,0.41892465296720616,1.0,0,0,0
5,Grudger,2.138176638176638,0.5729375037885677,1.0,1.0,0.5658149966660605,0.007122507122507122,0.005698005698005697,0.4213644905134267,1.0,0,0,0
6,Suspicious Tit For Tat,2.1139601139601134,0.47434382008850096,2.5,0.0,0.3247863247863248,0.14955749530217613,0.1531187488634297,0.37253743104806936,1.0,0,1.0,0
7,Remorseful Prober: 0.1,2.083333333333333,0.41827301933684913,4.0,1.0,0.24134691155967752,0.1769261077771716,0.19521731223858882,0.386509668424562,0.8959196546464652,0,0.8967833985623077,0.5137646038972039
8,Prober,1.7635327635327636,0.3321209916954598,2.0,0.0,0.2349215008789477,0.09719949081651208,0.09785112444686914,0.570027883857671,0.8,0.5098473649527134,0.7976190476190477,0.5066666666666667
9,Defector,1.2905982905982905,0.0,8.0,0.0,0.0,0.0,0.07264957264957266,0.9273504273504274,0,0,0,0
