Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Hard Tit For Tat,2.6701680672268906,0.6008403361344538,2.0,1.0,0.5852007469654529,0.015639589169000937,0.12943510737628386,0.2697245564892624,1.0,0,0.1594488188976378,0
1,Forgiving Tit For Tat,2.533613445378151,0.722280578898226,0.0,1.0,0.6115196078431372,0.11076097105508868,0.1057422969187675,0.17197712418300654,1.0,0,1.0,0
2,Tit For Tat,2.5231092436974794,0.7177871148459384,0.0,1.0,0.608485060690943,0.10930205415499532,0.10381652661064425,0.17839635854341737,1.0,0,1.0,0
3,Alternator,2.350840336134454,0.5,4.0,1.0,0.1845238095238095,0.3154761904761904,0.32370448179271705,0.17629551820728293,0,0,1.0,1.0
4,Tit For 2 Tats,2.3361344537815123,0.8282563025210085,0.0,1.0,0.6977124183006537,0.13054388422035482,0.01727357609710551,0.15447012138188607,1.0,0.7255855855855856,1.0,0
5,Random: 0.5,2.23109243697479,0.501984126984127,4.0,0.49206349206349204,0.243405695611578,0.25857843137254904,0.24970821661998133,0.24830765639589172,0.5029489509333459,0.506370282375581,0.491103733030956,0.5053373436251651
6,Defector,2.1932773109243695,0.0,7.0,0.0,0.0,0.0,0.29919467787114845,0.7008053221288516,0,0,0,0
7,Cooperator,2.1365546218487395,1.0,0.0,1.0,0.7114262371615313,0.28857376283846875,0.0,0.0,1.0,1.0,0,0
