Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Forgiving Tit For Tat,2.837820512820513,0.8627564102564103,0.0,1.0,0.7217307692307692,0.14102564102564102,0.1348076923076923,0.002435897435897436,1.0,0.5245183887915937,1.0,0
1,Tit For Tat,2.8346153846153848,0.8510897435897435,0.0,1.0,0.7051923076923077,0.1458974358974359,0.14275641025641025,0.006153846153846154,1.0,0,1.0,0
2,"BackStabber: ('D', 'D')",2.6974358974358976,0.7548717948717949,7.0,1.0,0.7383974358974358,0.016474358974358973,0.05897435897435897,0.18615384615384617,0.9906435601198117,0.8133116883116883,0,0
3,Tit For 2 Tats,2.6141025641025646,0.9055769230769231,0.0,1.0,0.8382692307692308,0.0673076923076923,0.0008333333333333333,0.09358974358974359,1.0,0.9157657657657658,1.0,0
4,Cooperator,2.5173076923076922,1.0,0.0,1.0,0.8391666666666666,0.16083333333333333,0.0,0.0,1.0,1.0,0,0
5,Grudger,2.4230769230769234,0.6175641025641025,2.0,1.0,0.6111538461538462,0.00641025641025641,0.05384615384615384,0.3285897435897436,1.0,0,0,0
6,Hard Tit For Tat,2.4179487179487182,0.6152564102564102,2.0,1.0,0.6088461538461538,0.00641025641025641,0.05384615384615384,0.3308974358974359,1.0,0,0,0
7,Suspicious Tit For Tat,2.405128205128205,0.5923076923076923,3.0,0.0,0.3910256410256411,0.2012820512820513,0.20570512820512818,0.20198717948717948,1.0,0,1.0,0
8,Remorseful Prober: 0.1,2.3532051282051283,0.522948717948718,5.0,1.0,0.30653846153846154,0.2164102564102564,0.24044871794871797,0.23660256410256406,0.8963352158478463,0,0.9051367125468437,0.6263164108393231
9,Prober,2.3301282051282053,0.4155128205128205,3.0,0.0,0.31525641025641027,0.10025641025641026,0.2007051282051282,0.3837820512820513,0.8125,0.5797016237275654,0.7329629629629629,1.0
10,Alternator,2.264102564102564,0.5,6.0,1.0,0.11698717948717947,0.38301282051282054,0.3533974358974359,0.1466025641025641,0,0,1.0,1.0
