Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Gradual,2.8476190476190477,0.9238095238095239,0.0,1.0,0.8476190476190475,0.07619047619047618,0.05714285714285714,0.019047619047619046,1.0,0.45,0.8333333333333334,0.5
1,Forgiving Tit For Tat,2.8285714285714287,0.8571428571428571,0.0,1.0,0.7047619047619048,0.15238095238095237,0.14285714285714285,0.0,1.0,0,1.0,0
2,Tit For Tat,2.8285714285714287,0.8571428571428571,0.0,1.0,0.7047619047619048,0.15238095238095237,0.14285714285714285,0.0,1.0,0,1.0,0
3,Suspicious Tit For Tat,2.742857142857143,0.6285714285714286,6.0,0.0,0.37142857142857144,0.2571428571428572,0.3142857142857142,0.05714285714285714,1.0,0,1.0,0
4,Alternator,2.685714285714286,0.5333333333333333,2.0,1.0,0.18095238095238095,0.3523809523809524,0.41904761904761906,0.04761904761904762,0,0,1.0,1.0
5,Win-Stay Lose-Shift: C,2.6571428571428575,0.7428571428571429,1.0,1.0,0.6095238095238095,0.13333333333333333,0.14285714285714285,0.1142857142857143,1.0,0,0,1.0
6,Prober,2.5714285714285716,0.6857142857142857,1.0,0.0,0.5238095238095238,0.1619047619047619,0.17142857142857143,0.14285714285714285,0.9166666666666666,0.7238095238095238,0.8888888888888888,1.0
7,Tit For 2 Tats,2.4952380952380957,0.9047619047619048,0.0,1.0,0.7999999999999999,0.10476190476190476,0.0,0.09523809523809523,1.0,0.8888888888888888,0,0
