Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Remorseful Prober: 0.1,2.507621951219512,0.58404933481153,4.0,1.0,0.3822062084257206,0.20184312638580934,0.2342017738359202,0.18174889135254987,0.9015518544155069,0,0.9029459613605268,0.697500844309355
1,Alternator,2.5,0.5121951219512195,2.0,1.0,0.1939440133037694,0.31825110864745015,0.35878603104212864,0.1290188470066519,0,0,1.0,1.0
2,Suspicious Tit For Tat,2.5,0.6050443458980045,6.0,0.0,0.390659645232816,0.21438470066518847,0.23316241685144126,0.16179323725055433,1.0,0,1.0,0
3,Gradual,2.4939024390243905,0.7486834811529933,2.0,1.0,0.6263165188470067,0.12236696230598668,0.08786031042128603,0.16345620842572062,1.0,0.3996997045670544,0.45282169895001756,0.3287857464173254
4,Tit For Tat,2.461890243902439,0.6472422394678492,0.0,1.0,0.4423503325942351,0.20489190687361422,0.19539911308203992,0.1573586474501109,1.0,0,1.0,0
5,Tit For 2 Tats,2.3719512195121952,0.8479767184035477,0.0,1.0,0.7205515521064302,0.12742516629711753,0.014828159645232817,0.1371951219512195,1.0,0.818960716502616,1.0,0
6,Random: 0.5,2.3323170731707314,0.501940133037694,3.0,0.5227272727272727,0.2673919068736142,0.2345482261640798,0.2592849223946785,0.23877494456762746,0.4976300598572808,0.5004066679842365,0.5017099068753195,0.492848755151277
7,Cooperator,2.2088414634146343,1.0,0.0,1.0,0.7366962305986696,0.2633037694013304,0.0,0.0,1.0,1.0,0,0
8,Defector,2.2073170731707314,0.0,7.0,0.0,0.0,0.0,0.3034922394678492,0.6965077605321508,0,0,0,0
