Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,"BackStabber: ('D', 'D')",3.0187793427230045,0.9859154929577465,3.0,1.0,0.9859154929577464,0.0,0.011737089201877934,0.0023474178403755865,0.9928571428571429,0,0,0
1,Grudger,2.988262910798122,0.9976525821596244,0.0,1.0,0.9953051643192486,0.0023474178403755865,0.0,0.0023474178403755865,1.0,0,0,0
2,Tit For 2 Tats,2.9859154929577465,1.0,0.0,1.0,0.9953051643192489,0.004694835680751174,0.0,0.0,1.0,1.0,0,0
3,Cooperator,2.9859154929577465,1.0,0.0,1.0,0.9953051643192489,0.004694835680751174,0.0,0.0,1.0,1.0,0,0
