Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,"BackStabber: ('D', 'D')",2.6572327044025155,0.8144654088050315,4.0,1.0,0.7987421383647798,0.01572327044025157,0.018867924528301886,0.16666666666666663,0.980313725490196,0.875,0,0
1,Tit For Tat,2.556603773584906,0.7515723270440252,0.0,1.0,0.660377358490566,0.09119496855345911,0.08176100628930817,0.16666666666666666,1.0,0,1.0,0
2,Forgiving Tit For Tat,2.5534591194968552,0.7547169811320755,0.0,1.0,0.660377358490566,0.09433962264150943,0.08176100628930817,0.16352201257861634,1.0,1.0,1.0,0
3,Win-Stay Lose-Shift: C,2.40251572327044,0.8050314465408805,0.0,1.0,0.660377358490566,0.14465408805031446,0.056603773584905655,0.13836477987421383,1.0,0,0,1.0
4,Hard Tit For Tat,2.323899371069182,0.6698113207547169,0.0,1.0,0.660377358490566,0.009433962264150943,0.003144654088050314,0.3270440251572327,1.0,0,0,0
5,Suspicious Tit For Tat,2.0188679245283017,0.3836477987421384,2.0,0.0,0.15723270440251572,0.22641509433962267,0.2327044025157233,0.38364779874213845,1.0,0,1.0,0
6,Defector,1.4276729559748427,0.0,5.0,0.0,0.0,0.0,0.10691823899371068,0.8930817610062892,0,0,0,0
