Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Tit For Tat,2.6541310541310543,0.7768660968660969,0.0,1.0,0.6678062678062678,0.10905982905982906,0.10703703703703704,0.1160968660968661,1.0,0,1.0,0
1,Tit For 2 Tats,2.5150997150997148,0.7803988603988604,0.0,1.0,0.7637321937321937,0.016666666666666666,0.0013105413105413107,0.2182905982905983,1.0,0.8116862745098039,1.0,0
2,Win-Stay Lose-Shift: C,2.4062678062678065,0.7422222222222222,1.0,1.0,0.5833048433048433,0.1589173789173789,0.10014245014245014,0.15763532763532762,1.0,0,0,1.0
3,"BackStabber: ('D', 'D')",2.3663817663817666,0.6893447293447293,5.0,1.0,0.681937321937322,0.007407407407407408,0.004558404558404559,0.30609686609686615,0.9961106163644213,0.8125,0,0
4,Hard Tit For Tat,2.121937321937322,0.5613105413105413,1.0,1.0,0.5584615384615385,0.0028490028490028487,0.002279202279202279,0.4364102564102564,1.0,0,0,0
5,Grudger,2.1185185185185187,0.5596296296296296,1.0,1.0,0.5567806267806268,0.0028490028490028487,0.002279202279202279,0.4380911680911681,1.0,0,0,0
6,Suspicious Tit For Tat,2.105982905982906,0.47649572649572647,3.0,0.0,0.3299145299145299,0.14658119658119656,0.1485185185185185,0.37498575498575504,1.0,0,1.0,0
7,Remorseful Prober: 0.1,1.931908831908832,0.34595441595441595,4.0,1.0,0.16245014245014244,0.18350427350427348,0.19886039886039886,0.4551851851851852,0.8602265504070418,0,0.887311810313592,0.5130027125701495
8,Prober,1.7336182336182335,0.3197720797720798,2.0,0.0,0.22678062678062677,0.09299145299145299,0.09316239316239316,0.5870655270655271,0.8,0.5038120072018377,0.7976190476190477,0.5026041666666666
9,Defector,1.2507122507122506,0.0,8.0,0.0,0.0,0.0,0.06267806267806268,0.9373219373219374,0,0,0,0
