Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,"BackStabber: ('D', 'D')",2.5,0.4368932038834951,1.0,0.44,0.23284313725490197,0.2039969834087481,0.30995475113122173,0.2532051282051282,0,0,0.5,0
1,Win-Stay Lose-Shift: C,2.5,0.43137254901960786,0.0,0.43,0.21568627450980393,0.21568627450980393,0.303921568627451,0.2647058823529412,0,0,1.0,0
2,Prober,2.0,0.6213592233009708,0.0,0.63,0.23284313725490197,0.38838612368024134,0.19419306184012067,0.18457767722473606,0,0.5,0,0
