Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Defector,3.0861111111111112,0.24478856462179868,6.5,0.24556737588652483,0.13582598046996888,0.1087082597853397,0.4509455403986093,0.3045202193460821,0.33829365079365076,0.29935897435897435,0.21254947421240922,0.29376148905560673
1,Prober,3.0041666666666664,0.3888213851761847,5.0,0.2570921985815603,0.21892261654190057,0.17078403139881027,0.39440127508916717,0.21589207697012203,0.6912277537277537,0.6389221889221889,0.7084320642172474,0.6105561241590652
2,Suspicious Tit For Tat,3.0,0.33901399878271454,5.5,0.23847517730496454,0.17784342913217074,0.1605997314913093,0.41726205812763956,0.24429478124888035,0.8211251167133519,0.2532936507936508,0.7529387023794918,0.28394738594738594
3,Hard Tit For Tat,2.4340277777777777,0.6603427172582619,2.0,0.7296099290780141,0.4086923237594635,0.2518629114646465,0.198131774470495,0.1413129903053951,0.6747748242444702,0.2996765417818049,0.6639550264550265,0.31700680272108844
4,Remorseful Prober: 0.1,2.354166666666667,0.6965944272445821,2.0,0.7632978723404256,0.4351587368514687,0.26175882478570134,0.1917738476173176,0.11130859074551226,0.7175651200651201,0.26007805325987143,0.7197585978835979,0.4204081632653061
5,Gradual,2.3333333333333335,0.6953807740324595,2.0,0.7535460992907801,0.4286088994742802,0.26792849943137637,0.18573509733725369,0.11772750375708978,0.7374444707339444,0.3223115773115773,0.8234168609168608,0.39962121212121215
6,Forgiving Tit For Tat,2.326388888888889,0.6977452772699574,2.0,0.773936170212766,0.4208180815967537,0.27803090607629494,0.18921583538913114,0.11193517693782008,0.7447983857169985,0.23338661338661337,0.7960618085618085,0.29315476190476186
7,Grudger,2.3055555555555554,0.6623853211009174,2.0,0.7526595744680851,0.413301883430447,0.25041070338001997,0.19504995270173933,0.14123746048779373,0.6636546627216485,0.30670619235836627,0.5698896011396012,0.20821886446886445
8,Win-Stay Lose-Shift: C,2.3,0.6903030303030303,2.0,0.7526595744680851,0.429925081358046,0.2607312225397563,0.1923935636410249,0.11695013246117282,0.7777657065157064,0.3010515873015873,0.33676046176046176,0.7075931013431013
9,Alternator,2.2847222222222223,0.648014440433213,2.0,0.7668439716312057,0.3811824066561171,0.2676700298877451,0.2054529363296839,0.145694627126454,0.2368667838529498,0.17528242955874535,0.7751208951866847,0.7552188552188553
10,"BackStabber: ('D', 'D')",2.2638888888888893,0.7229933614966807,2.0,0.7109929078014184,0.4440637086345254,0.2787895549463333,0.16830691753717042,0.10883981888197099,0.7451926772989079,0.7522056009124974,0.7337572150072149,0.8324074074074074
11,Tit For Tat,2.25,0.701093560145808,2.0,0.7562056737588653,0.4385144949369781,0.2632822945054923,0.17026303705218904,0.12794017350534057,0.7133082693966316,0.36121113734750093,0.7631686495322859,0.43333333333333335
12,Tit For 2 Tats,2.2458333333333336,0.7552275522755227,2.0,0.7686170212765957,0.46067771158503507,0.2945026960161769,0.15612783001758115,0.08869176238120688,0.7529194502657192,0.7097611177702711,0.7442460317460317,0.7872023809523809
