Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Cooperator,3.212121212121212,0.1943127962085308,2.0,0.23636363636363636,0.13557667274147356,0.05906915266457052,0.5380860352872849,0.2672681393066709,0.1806451612903226,0.10416666666666666,0.21318675606840273,0.15092879256965944
1,Forgiving Tit For Tat,1.8571428571428572,0.5359477124183006,1.0,0.16363636363636364,0.1642589248506737,0.373764518576298,0.19006913353350358,0.27190742303952475,0.19385270846013392,0.8603548857559553,0.14250000000000002,0.8374363327674024
2,Suspicious Tit For Tat,1.2272727272727273,0.616692426584235,0.0,0.7181818181818181,0.1694008149834516,0.44387423236593904,0.14855273478601902,0.2381722178645903,0.16603773584905662,0.7884276729559749,0.22794117647058823,0.7658918406072106
