Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Grudger,2.6666666666666665,0.5304347826086957,1.0,0.5350877192982456,0.27732793522267213,0.2521367521367522,0.30499325236167346,0.1655420602789024,0,0,0,0
1,"BackStabber: ('D', 'D')",2.583333333333333,0.5454545454545454,1.0,0.543859649122807,0.303702570379437,0.23907588739290087,0.2422786617707058,0.21494288045695634,0.75,0.3333333333333333,0,1.0
2,Tit For Tat,2.3333333333333335,0.5901639344262295,1.0,0.6140350877192983,0.36173225998807396,0.23060524746571257,0.23682667461737228,0.17083581792884117,0,1.0,0,1.0
3,Gradual,2.0,0.6016949152542372,0.5,0.6140350877192983,0.3289473684210526,0.2736842105263158,0.21140350877192984,0.18596491228070175,0,0,1.0,0
