Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Prober,3.630952380952381,0.45594405594405596,4.0,0.0,0.250081111531208,0.20322537086409256,0.48950358028992175,0.057189937314777714,0.8442982456140351,0.7968253968253969,0.9521138048487278,0.9375
1,Random: 0.5,3.25,0.4901185770750988,4.0,0.46726190476190477,0.35618457909479584,0.13018365240833174,0.3787527642636002,0.13487900423327226,0.48676970788315327,0.529047619047619,0.4765980379773483,0.536441798941799
2,Alternator,2.8464285714285715,0.6624293785310734,2.0,1.0,0.4585934329638377,0.2038433061724309,0.2952238250894217,0.04233943577430972,0,0,1.0,1.0
3,Forgiving Tit For Tat,2.511904761904762,0.9048951048951049,0.0,1.0,0.7224646781789639,0.18090491141511553,0.07805898183449204,0.018571428571428572,1.0,0,1.0,0
4,Tit For Tat,2.5,0.8938992042440318,0.0,1.0,0.7297438601608868,0.16708664774320944,0.08756324959890496,0.015606242496998799,1.0,0,1.0,0
5,Hard Tit For Tat,2.5,0.826025459688826,0.0,1.0,0.6736694677871148,0.1548510913799482,0.10408243486073673,0.06739700597220019,1.0,0,0,0
6,"BackStabber: ('D', 'D')",2.357142857142857,0.990450204638472,0.0,1.0,0.7918881838449666,0.198307894586406,0.0056022408963585435,0.004201680672268907,1.0,0.9791666666666666,0,0
7,Tit For 2 Tats,2.321428571428571,0.9779086892488954,0.0,1.0,0.7736189374535238,0.2046699165496158,0.004285714285714286,0.017425431711145998,1.0,0.9050474762618691,0,0
