Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Defector,3.1666666666666665,0.0,5.0,0.0,0.0,0.0,0.44615084458744964,0.5538491554125503,0,0,0,0
1,Suspicious Tit For Tat,3.1527777777777777,0.3914940021810251,4.0,0.0,0.28237660832469597,0.119214980054994,0.3711308804429691,0.22727753117734095,1.0,0,1.0,0
2,Prober,2.9305555555555554,0.5041518386714117,3.0,0.0,0.31386568469229437,0.18225847453419486,0.3229697427056006,0.18090609806791016,0.8626666666666667,0.84375,0.9091666666666666,0.7767857142857143
3,Tit For Tat,2.0277777777777777,0.7893518518518519,0.0,1.0,0.5325435441788308,0.25400255375009395,0.11647181122395371,0.09698209084712152,1.0,0,1.0,0
4,Remorseful Prober: 0.1,2.0128472222222222,0.7669441141498217,0.0,1.0,0.4957005250963202,0.26181260186894423,0.13755802954188368,0.1049288434928518,0.905486230636833,0,0.905,1.0
5,Tit For 2 Tats,1.9305555555555556,0.9300613496932515,0.0,1.0,0.6703412328412328,0.2638664496423117,0.0,0.06579231751645546,1.0,0.9048202614379085,0,0
6,"BackStabber: ('D', 'D')",1.875,0.972877358490566,0.0,1.0,0.6593215769886532,0.31312624865131794,0.0,0.027552174360028787,1.0,0.9597297297297297,0,0
