Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Defector,3.909090909090909,0.0,9.0,0.0,0.0,0.0,0.6553368360714805,0.3446631639285194,0,0,0,0
1,Suspicious Tit For Tat,3.772727272727273,0.19361702127659575,7.0,0.0,0.06885130373502467,0.12439719945865683,0.5971875108569958,0.20956398594932268,1.0,0,1.0,0
2,Prober,3.6818181818181817,0.2580993520518359,7.0,0.0,0.07831843671644113,0.17699388264202415,0.5823070451599051,0.1623806354816297,0.9285714285714286,0.8576388888888888,0.9934640522875817,0.9565217391304347
3,Random: 0.5,3.0,0.5076923076923077,4.0,0.5126676602086438,0.3464808476529502,0.16232417281436892,0.3339009150817538,0.15729406445092722,0.5075356742023409,0.611111111111111,0.5398388648388648,0.703125
4,Hard Tit For Tat,2.1818181818181817,0.9081858407079646,0.0,1.0,0.6639488853392597,0.24507818547697247,0.05436962932723987,0.03660329985652798,1.0,0,0,0
5,Forgiving Tit For Tat,2.1818181818181817,0.9144385026737968,0.0,1.0,0.6776460304635242,0.2406320718031891,0.04494207523917853,0.03677982249410821,1.0,0,1.0,0
6,Gradual,2.1818181818181817,0.9387755102040817,0.0,1.0,0.6825135412091933,0.2566299453413125,0.034359660865684954,0.026496852583809096,1.0,0.2,1.0,1.0
7,Win-Stay Lose-Shift: C,2.1818181818181817,0.9148471615720524,0.0,1.0,0.6652353023320765,0.25273046818176015,0.04661821029919972,0.035416019186963625,1.0,0,0,1.0
8,Cooperator,2.1818181818181817,1.0,0.0,1.0,0.7275854888418469,0.27241451115815296,0.0,0.0,1.0,1.0,0,0
9,Grudger,2.1818181818181817,0.90465872156013,0.0,1.0,0.6698744293681003,0.23752811342056177,0.05319650480940803,0.03940095240192992,1.0,0,0,0
10,Tit For 2 Tats,2.1818181818181817,0.9966814159292036,0.0,1.0,0.7349073690537105,0.26155071831346777,0.0,0.0035419126328217238,1.0,0.9625,0,0
11,Remorseful Prober: 0.1,2.1818181818181817,0.9004237288135594,0.0,1.0,0.6653369025979214,0.2351818898944513,0.06324277079407176,0.03623843671355549,0.8572382814318298,0,1.0,0
