Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Prober,3.230952380952381,0.49862825788751713,3.0,0.0,0.3110576825059007,0.19180989863722678,0.3501298565338139,0.14700256232305858,0.823271272769129,0.7006829268292682,0.8328060912145061,0.2564102564102564
1,Random: 0.5,3.0476190476190474,0.49173300673606857,4.0,0.5247252747252747,0.3013596621042168,0.18983519530697165,0.31420771511988743,0.19459742746892417,0.4718413593507579,0.46818006043741384,0.4921393550313411,0.44615944753392156
2,Alternator,2.7423185941043084,0.5731225296442688,3.0,1.0,0.31017654467382316,0.26463455570229044,0.35038060000997173,0.07480829961391468,0,0,1.0,1.0
3,Tit For Tat,2.712698412698413,0.8700427089688835,0.0,1.0,0.7353448729919317,0.1350420168067227,0.0989252795135148,0.030687830687830688,1.0,0,1.0,0
4,Forgiving Tit For Tat,2.6726190476190474,0.8747603833865815,0.0,1.0,0.7328534476830343,0.14027840126462315,0.10104397522816667,0.025824175824175823,1.0,0.015384615384615385,1.0,0
5,Hard Tit For Tat,2.5702380952380954,0.725897920604915,1.0,1.0,0.6288685411771061,0.09306652315567222,0.14028230284183366,0.137782632825388,1.0,0,0.09615384615384616,0
6,Tit For 2 Tats,2.4098639455782314,0.9422950819672131,0.0,1.0,0.7586914386235069,0.18671187428485875,0.011709601873536297,0.04288708521809801,1.0,0.8330319469559976,1.0,0
7,"BackStabber: ('D', 'D')",2.4095959595959595,0.936664729808251,0.0,1.0,0.7494322319313205,0.18344913261315157,0.018148266650792826,0.04897036880473518,1.0,0.8633560459064723,0,0
