Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Defector,3.909090909090909,0.0,9.0,0.0,0.0,0.0,0.6598421186656481,0.340157881334352,0,0,0,0
1,Prober,3.8181818181818183,0.2678062678062678,7.0,0.0,0.08697932958790983,0.17837898946706712,0.6020144291645455,0.1326272517804776,0.9166666666666666,0.9375,0.9888888888888889,1.0
2,Suspicious Tit For Tat,3.772727272727273,0.21774193548387097,7.0,0.0,0.06266032761633934,0.1496522486953109,0.613950294942732,0.17373712874561772,1.0,0,1.0,0
3,Alternator,2.5075757575757573,0.7547169811320755,2.0,1.0,0.5260828579936467,0.22987286445472624,0.21004825199917035,0.03399602555245674,0,0,1.0,1.0
4,Remorseful Prober: 0.1,2.3181818181818183,0.9067796610169492,0.0,1.0,0.6866142884773211,0.2239779471260364,0.0630484777502745,0.026359286646367986,0.9352678571428572,0,0.9375,0
5,Forgiving Tit For Tat,2.272727272727273,0.9083557951482479,0.0,1.0,0.6901318689743736,0.22267944889536825,0.05601985096142692,0.03116883116883117,1.0,0,1.0,0
6,Tit For Tat,2.272727272727273,0.9265536723163842,0.0,1.0,0.699724517906336,0.2272615515285624,0.04360216585921914,0.02941176470588235,1.0,0,1.0,0
7,Hard Tit For Tat,2.25,0.9081081081081082,0.0,1.0,0.7038123167155426,0.2053492878089652,0.04384164222873901,0.04699675324675325,1.0,0,0,0
8,Grudger,2.1969696969696972,0.9121813031161473,0.0,1.0,0.6913875598086124,0.2243549319949999,0.045911643534733516,0.038345864661654135,1.0,0,0,0
9,Gradual,2.1818181818181817,0.9464788732394366,0.0,1.0,0.7119502232354896,0.23437547147670698,0.034957727747696406,0.01871657754010695,1.0,0.125,1.0,1.0
10,Cooperator,2.1818181818181817,1.0,0.0,1.0,0.7545922545922547,0.24540774540774538,0.0,0.0,1.0,1.0,0,0
11,"BackStabber: ('D', 'D')",2.1818181818181817,1.0,0.0,1.0,0.7680738840013034,0.2319261159986966,0.0,0.0,1.0,1.0,0,0
