Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Suspicious Tit For Tat,2.743877551020408,0.4696926980546941,4.0,0.0,0.30458587042690866,0.1683711777709686,0.2593741761779833,0.26766877562413943,1.0,0,1.0,0
1,Defector,2.5026026604973977,0.0,6.0,0.0,0.0,0.0,0.2321950923230895,0.7678049076769106,0,0,0,0
2,Forgiving Tit For Tat,2.476190476190476,0.7796657381615599,0.0,1.0,0.6236857933357394,0.15006339518145045,0.1059851642403068,0.12026564724250356,1.0,0.039473684210526314,1.0,0
3,Remorseful Prober: 0.1,2.4455782312925165,0.6690203000882613,1.0,1.0,0.4911259127539596,0.17493009057180753,0.1661095704360266,0.16783442623820632,0.8930889544501592,0,0.9112723170711007,0.683361344537815
4,Gradual,2.4404761904761902,0.8731301939058171,0.0,1.0,0.7351492890523805,0.15089710864555755,0.04385783829978707,0.07009576400227484,1.0,0.39830839297332465,0.96,0.7450592885375494
5,Prober,2.379348072562358,0.5676807144850684,1.0,0.0,0.40336728326567445,0.16696449846618772,0.1482759513290514,0.2813922669390864,0.9050847457627118,0.7820400432900433,0.8886075949367089,0.618421052631579
6,Hard Tit For Tat,2.2535714285714286,0.5892461197339246,1.0,1.0,0.5113223371540397,0.07809610816776003,0.06252934810275053,0.3480522065754498,1.0,0,0,0
7,Tit For 2 Tats,2.2123015873015874,0.8418714835652946,0.0,1.0,0.711917290066686,0.13033366575974842,0.00132890365448505,0.15642014051908046,1.0,0.7878306556312885,1.0,0
