Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Random: 0.5,3.75,0.5106382978723404,2.0,0.5166666666666667,0.4769527669223718,0.0348820379215516,0.4677570318907705,0.02040816326530612,0.5,0,0.611111111111111,0
1,"BackStabber: ('D', 'D')",3.0,1.0,0.0,1.0,0.8444444444444444,0.15555555555555556,0.0,0.0,1.0,1.0,0,0
2,Gradual,2.8333333333333335,0.9788732394366197,0.0,1.0,0.8297872340425533,0.14893617021276595,0.02127659574468085,0.0,1.0,0,0,0
3,Win-Stay Lose-Shift: C,2.333333333333333,0.9662162162162162,0.0,1.0,0.8027210884353742,0.16326530612244897,0.013605442176870748,0.02040816326530612,1.0,0,0,0
